image,sigma,noisy_psnr,noisy_ssim,unnp_psnr,unnp_ssim,unnp_best_step,unnp_final_psnr,bm3d_psnr,bm3d_ssim
camera,15,24.7072,0.584,28.2728,0.7982,900,28.2728,31.6629,0.9055
camera,25,20.4895,0.4407,26.8579,0.7242,850,22.9071,28.8528,0.849
camera,50,15.1565,0.2776,23.7423,0.6386,450,19.0197,24.928,0.7642
astronaut,15,24.8793,0.8562,26.8199,0.9099,900,26.8199,28.9826,0.9404
astronaut,25,20.5968,0.7477,24.3169,0.8613,650,22.966,25.5037,0.8927
astronaut,50,15.1447,0.5233,20.4269,0.7268,525,16.606,21.0428,0.7631
coffee,15,24.7995,0.7635,29.1419,0.9033,650,28.0479,30.8035,0.9389
coffee,25,20.6335,0.6038,26.4229,0.8274,775,26.103,28.111,0.8844
coffee,50,15.0713,0.3684,22.154,0.6655,375,16.0417,23.3803,0.722
coins,15,24.6555,0.8826,29.8609,0.9661,400,26.966,29.0877,0.9567
coins,25,20.4374,0.7668,26.7615,0.9247,400,21.2283,26.9058,0.9302
coins,50,14.8554,0.5301,22.7039,0.839,250,15.1008,23.1338,0.8422
moon,15,24.6954,0.3379,31.7415,0.7306,500,25.3154,35.5263,0.9076
moon,25,20.2462,0.1883,27.1162,0.7589,50,20.2978,33.2887,0.8851
moon,50,14.2797,0.0694,27.2639,0.7244,75,14.4603,29.2093,0.7765
