image,sigma,method,psnr,ssim,best_step
camera,15,noisy,24.7072,0.584,
camera,15,UNNP,28.2728,0.7982,900
camera,15,BM3D,31.6629,0.9055,
camera,25,noisy,20.4895,0.4407,
camera,25,UNNP,26.8579,0.7242,850
camera,25,BM3D,28.8528,0.849,
camera,50,noisy,15.1565,0.2776,
camera,50,UNNP,23.7423,0.6386,450
camera,50,BM3D,24.928,0.7642,
astronaut,15,noisy,24.8793,0.8562,
astronaut,15,UNNP,26.8199,0.9099,900
astronaut,15,BM3D,28.9826,0.9404,
astronaut,25,noisy,20.5968,0.7477,
astronaut,25,UNNP,24.3169,0.8613,650
astronaut,25,BM3D,25.5037,0.8927,
astronaut,50,noisy,15.1447,0.5233,
astronaut,50,UNNP,20.4269,0.7268,525
astronaut,50,BM3D,21.0428,0.7631,
coffee,15,noisy,24.7995,0.7635,
coffee,15,UNNP,29.1419,0.9033,650
coffee,15,BM3D,30.8035,0.9389,
coffee,25,noisy,20.6335,0.6038,
coffee,25,UNNP,26.4229,0.8274,775
coffee,25,BM3D,28.111,0.8844,
coffee,50,noisy,15.0713,0.3684,
coffee,50,UNNP,22.154,0.6655,375
coffee,50,BM3D,23.3803,0.722,
coins,15,noisy,24.6555,0.8826,
coins,15,UNNP,29.8609,0.9661,400
coins,15,BM3D,29.0877,0.9567,
coins,25,noisy,20.4374,0.7668,
coins,25,UNNP,26.7615,0.9247,400
coins,25,BM3D,26.9058,0.9302,
coins,50,noisy,14.8554,0.5301,
coins,50,UNNP,22.7039,0.839,250
coins,50,BM3D,23.1338,0.8422,
moon,15,noisy,24.6954,0.3379,
moon,15,UNNP,31.7415,0.7306,500
moon,15,BM3D,35.5263,0.9076,
moon,25,noisy,20.2462,0.1883,
moon,25,UNNP,27.1162,0.7589,50
moon,25,BM3D,33.2887,0.8851,
moon,50,noisy,14.2797,0.0694,
moon,50,UNNP,27.2639,0.7244,75
moon,50,BM3D,29.2093,0.7765,
